Country,GDP per capita,Life expectancy
Bermuda2017,81834.9558735543,82.316
Bermuda2018,81422.1346003442,82.459
Bermuda2019,81804.2656772398,82.593
Bhutan1990,2880.57165808107,52.878
Bhutan1991,2848.23881503317,53.633
Bhutan1992,2979.90744528359,54.384
Bhutan1993,3050.14095270966,55.131
Bhutan1994,3205.2913357816,55.878
Bhutan1995,3414.55075456272,56.636
Bhutan1996,3559.02916248669,57.418
Bhutan1997,3680.66534075738,58.236
Bhutan1998,3810.85978074076,59.089
Bhutan1999,4018.92748886381,59.974
Bhutan2000,4061.4990262661,60.884
Bhutan2001,4308.52560449866,61.808
Bhutan2002,4686.01084721764,62.728
Bhutan2003,4957.52912891143,63.624
Bhutan2004,5165.17346931653,64.483
Bhutan2005,5456.70774972036,65.289
Bhutan2006,5761.7501411583,66.031
Bhutan2007,6743.04653246607,66.709
Bhutan2008,6995.7793047569,67.325
Bhutan2009,7393.91785456585,67.882
Bhutan2010,8190.57622279014,68.384
Bhutan2011,8744.95764294872,68.84
Bhutan2012,9084.00445533749,69.263
Bhutan2013,9163.5635511192,69.662
Bhutan2014,9574.0290039124,70.046
Bhutan2015,10086.0727954667,70.419
Bhutan2016,10775.1903107625,70.781
Bhutan2017,11142.4746724654,71.129
Bhutan2018,11348.4419521,71.46
Bhutan2019,11832.1582535521,71.777
Bolivia1990,4587.42938073981,56.099
Bolivia1991,4728.04750749122,56.721
Bolivia1992,4705.58714505519,57.351
Bolivia1993,4804.53997720178,57.989
Bolivia1994,4925.10776358284,58.631
Bolivia1995,5050.3137938489,59.276
Bolivia1996,5164.25007321453,59.922
Bolivia1997,5312.08101475591,60.566
Bolivia1998,5469.46974118482,61.204
Bolivia1999,5386.17921843369,61.835
Bolivia2000,5415.52605950999,62.452
Bolivia2001,5402.7594835544,63.054
Bolivia2002,5434.08384675066,63.64
Bolivia2003,5479.26691066365,64.21
Bolivia2004,5605.20188152968,64.766
Bolivia2005,5749.5316491022,65.312
Bolivia2006,5920.70977613223,65.853
Bolivia2007,6085.3864523204,66.395
Bolivia2008,6351.22621099244,66.937
Bolivia2009,6455.96837017486,67.476
Bolivia2010,6612.80335711566,68.007
Bolivia2011,6844.98378288122,68.521
Bolivia2012,7081.38612822582,69.01
Bolivia2013,7444.49080937508,69.468
Bolivia2014,7730.63840212872,69.891
Bolivia2015,7984.41198272424,70.277
Bolivia2016,8202.54423164277,70.626
Bolivia2017,8423.69755965624,70.945
Bolivia2018,8655.53149780443,71.239
Bolivia2019,8724.47418740562,71.513
Bosnia and Herzegovina1994,1653.42293141064,71.093
Bosnia and Herzegovina1995,2053.39827367106,71.645
Bosnia and Herzegovina1996,3946.66874310651,72.307
Bosnia and Herzegovina1997,5344.1569674332,72.976
Bosnia and Herzegovina1998,6180.71058507575,73.569
Bosnia and Herzegovina1999,6757.74502972714,74.05
Bosnia and Herzegovina2000,7114.5527648191,74.403
Bosnia and Herzegovina2001,7419.0134138563,74.637
Bosnia and Herzegovina2002,7804.16871769608,74.803
Bosnia and Herzegovina2003,8110.31643838943,74.941
Bosnia and Herzegovina2004,8600.43670289933,75.068
Bosnia and Herzegovina2005,9350.94404211336,75.198
Bosnia and Herzegovina2006,9856.9688824779,75.342
Bosnia and Herzegovina2007,10441.7963196058,75.498
Bosnia and Herzegovina2008,11035.0385848851,75.665
Bosnia and Herzegovina2009,10755.9711188788,75.844
Bosnia and Herzegovina2010,10938.2850480476,76.031
Bosnia and Herzegovina2011,11176.876815237,76.219
Bosnia and Herzegovina2012,11257.8350659388,76.401
Bosnia and Herzegovina2013,11725.2508627353,76.569
Bosnia and Herzegovina2014,12066.5870581183,76.723
Bosnia and Herzegovina2015,12630.6623426277,76.865
Bosnia and Herzegovina2016,13194.3254000959,76.998
Bosnia and Herzegovina2017,13753.8320539223,77.128
Bosnia and Herzegovina2018,14386.7318547663,77.262
Bosnia and Herzegovina2019,14896.7900391155,77.401
Botswana1990,9074.20570003535,59.191
Botswana1991,9460.14504314027,58.232
Botswana1992,9470.34182281321,57.219
Botswana1993,9406.4298693945,56.222
Botswana1994,9510.11616815872,55.284
Botswana1995,9935.45358450539,54.41
Botswana1996,10266.2483255724,53.572
Botswana1997,10863.2708060998,52.749
Botswana1998,10666.3268912724,51.947
Botswana1999,11447.3335791467,51.214
Botswana2000,11439.908400073,50.629
Botswana2001,11253.9430497053,50.281
Botswana2002,11727.1836973897,50.232
Botswana2003,12059.2087897589,50.518
Botswana2004,12167.0150797253,51.15
Botswana2005,12484.2304348309,52.13
Botswana2006,13256.974309378,53.435
Botswana2007,14051.5412554853,54.983
Botswana2008,14616.002351689,56.679
Botswana2009,13235.9563332678,58.447
Botswana2010,14126.382270078,60.211
Botswana2011,14770.4390405053,61.91
Botswana2012,15245.9809916856,63.511
Botswana2013,16786.0964647609,64.976
Botswana2014,17264.3958032611,66.265
Botswana2015,16714.3978216526,67.338
Botswana2016,17117.272788253,68.178
Botswana2017,17253.6874951645,68.812
Botswana2018,17634.6561910867,69.275
Botswana2019,17776.8083134036,69.592
Brazil1990,10521.1210145068,66.343
Brazil1991,10493.9283113252,66.742
Brazil1992,10268.1140980509,67.141
Brazil1993,10569.6951031084,67.539
Brazil1994,10953.1202584745,67.932
Brazil1995,11254.2631818166,68.318
